,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104730606079,10137.269721746445
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.61345648765564
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49143.98705983162
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.578784227371216
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.205119371414
5,2019-03-29,SELL,NVDA,25169,4.400115489959717,162996.71188616753
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.0091636180877686
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.5620200634
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.71848845482
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.238515615463257
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.9296939373
11,2019-05-31,BUY,NVDA,38294,3.4572556018829346,66084.7836754322
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,7.0139076709747314
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52300.13371968269
14,2019-06-28,BUY,NVDA,12892,4.056701183319092,1.1420643329620361
15,2019-07-31,SELL,NVDA,959,4.3604021072387695,4182.767685174942
16,2019-07-31,BUY,TSLA,258,16.150667190551758,15.895550012588501
17,2019-08-16,SELL,TSLA,2004,14.37600040435791,28825.40036034584
18,2019-08-30,BUY,NVDA,381,4.154505252838135,27242.53385901451
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.54468321800232
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8771.75998711586
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.653879404067993
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.274053812027
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.42389512062
24,2019-10-31,BUY,NVDA,3061,5.05008602142334,269.11058354377747
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32404.241227388382
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28613.081315279007
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,186.46227383613586
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1156.3922665119171
29,2019-12-31,SELL,NVDA,11901,5.783753395080566,69988.84142136574
30,2019-12-31,BUY,CSCO,1730,40.4477424621582,14.246961832046509
